NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,closed?,# of foundation grants,total foundation grant income,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,Cultural Heritage,year
PANAMERICAN MUSICAL ART RESEARCH INC,Hispanic/Latino,multidisciplinary,N,Y,n/a,NA,NA,1,120000,-4513,-7076,2563,11363,13926,9908,10033-1341,198909,NA,2018
PEARL THEATRE CO INC,White,theater,N,N,n/a,ND,closed 2017,NA,NA,-641881,-454194,-187687,1689657,1501970,699990,NA,198304,NA,2018
PERIAPSIS MUSIC AND DANCE INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,-30391,-14331,-16005,59677,43672,37746,11238-4253,201308,NA,2018
PHOENIX THEATRE ENSEMBLE INC,White,theater,N,N,n/a,N,NA,2,6500,-31205,12952,-44157,196946,152789,84486,10003-7702,200412,NA,2018
PHOTO-BASED ART INC,White,visual arts,N,N,n/a,N,NA,NA,NA,-3470,-395,-3075,8100,5025,0,11238-0000,200503,NA,2018
PIPELINE THEATRE COMPANY INC,White,theater,N,N,n/a,N,NA,3,30500,-10570,26031,-36601,273201,236600,163728,10023-3317,201202,NA,2018
PIPER THEATRE PRODUCTIONS INC,White,theater,N,N,n/a,N,NA,3,4250,-19617,NA,11309,253382,264691,20902,11215-0613,200208,NA,2018
POETRY SOCIETY OF NEW YORK INC,White,literary arts,N,N,n/a,Y,NA,NA,NA,-9107,48089,-57196,208102,150906,23685,11232-1208,201510,NA,2018
PRIMARY STAGES COMPANY INC,White,theater,N,N,n/a,NA,NA,24,345210,-271279,-151757,-119522,3369555,3250033,1631089,10018-8648,198512,NA,2018
PROJECT Y THEATRE INC,White,theater,N,N,"Women, LGBTQ",N,NA,NA,NA,-13951,-23552,9600,70880,80480,49335,10018-6507,201004,NA,2018
PUBLIC ART FILMS INC,White,film/electronic/media,N,N,n/a,ND,NA,NA,NA,-14946,15769,-30715,95659,64944,35000,11201-4508,198712,NA,2018
PUERTO RICAN TRAVELING THEATRE CO INC,Hispanic/Latino,theater,N,Y,n/a,NA,NA,NA,NA,-94173,-92960,-1213,346223,345010,116397,NA,196903,NA,2018
PULSE ENSEMBLE THEATRE INC,White,theater,Y,N,Women,N,NA,1,5000,-26412,-31898,5486,10502,15988,11859,10108-2281,199207,NA,2018
PUPPET WORKS INC,White,theater,N,N,Youth,N,NA,2,7500,-58729,-43729,-15006,207678,192672,17601,11215-0562,198110,NA,2018
PUPPETRY ARTS THEATRE INC,White,theater,N,N,Youth,N,NA,NA,NA,-45386,NA,18000,61263,79263,61750,11209-2259,200301,NA,2018
RADIO FOUNDATION INC,White,film/electronic/media,N,N,n/a,N,NA,NA,NA,-17487,-34500,17013,161384,178397,100019,10024-2014,197708,NA,2018
RANDOM ACCESS MUSIC INCORPORATION,White,music: other,N,N,n/a,Y,NA,NA,NA,-1881,NA,-4256,23642,19386,19386,10301-1434,200907,NA,2018
REBEL PLAYHOUSE INC,White,theater,N,N,Youth,N,NA,NA,NA,-7246,-9908,1962,29010,30972,17393,11225-5520,201610,NA,2018
REDHAWK INDIAN ARTS COUNCIL INC,Indigenous,folk arts/heritage,N,Y,n/a,NA,NA,NA,NA,-7911,-6000,-1911,199311,197400,40100,11219-1083,199404,NA,2018
REEL STORIES TEEN FILMMAKING INC,White,film/electronic/media,Y,N,Youth,N,NA,1,150000,-26277,139621,-165898,1658486,1492588,1239972,11215-1490,200501,NA,2018
RELATIONSHIP PERFORMANCE AND ARTSGROUP INC,White,theater,N,N,Women,N,NA,NA,NA,-24762,NA,16755,62349,79104,77788,10009-5822,200702,NA,2018
RICHARD TUCKER MUSIC FOUNDATION INC,White,opera,N,N,n/a,N,NA,22,142600,-65782,NA,1406,913534,914940,907940,10019-1412,201505,NA,2018
RIO GRANDE UNION INC,White,dance: other,N,N,n/a,N,NA,NA,NA,-31142,-35299,4157,221161,225318,203850,10012-3944,197309,NA,2018
RIPE TIME INC,White,theater,N,N,n/a,N,NA,NA,NA,-30846,25139,-55985,225611,169626,124226,11238-6093,200212,NA,2018
RUSSIAN AMERICAN CULTURAL HERITAGE CENTER INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,-9734,-12992,3258,41100,44358,39664,10040-4805,200407,Cultural Heritage,2018
SAVING GRACE NYC,White,historic preservation,N,N,n/a,N,NA,NA,NA,-143584,-132303,-11281,24555,13274,13274,10003-4804,200807,NA,2018
SCANDINAVIAN AMERICAN THEATER COMPANY INC,White,theater,N,N,n/a,N,NA,1,5000,-16994,NA,6942,47239,54181,54181,10018-8647,201505,NA,2018
SEASIDE SUMMER CONCERT SERIES INC,White,music: other,N,N,n/a,ND,NA,NA,NA,-310293,-34681,-283076,589102,306026,306021,11201-3832,198104,NA,2018
SHAKESPEARE IN THE SQUARE,White,theater,N,N,n/a,N,NA,NA,NA,-1346,NA,-3885,15417,11532,5032,10003-6514,201706,NA,2018
SIKH ART & FILM FOUNDATION INC,Asian/Pacific Islander,multidisciplinary,N,Y,Religion: Sikh,NA,NA,NA,NA,-4057,-28332,24275,34186,58461,56019,10018-6803,200609,Cultural Heritage,2018
