NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,Cultural Heritage,closed?,# of foundation grants,total foundation grant income,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,year
STUDIO CREATIVE PLAY,White,multidisciplinary,N,N,Youth,N,NA,NA,NA,NA,-100345,-71226,-29119,295727,266608,0,11215-1301,200411,2011
SYLVAN WINDS INC,White,music: other,N,N,n/a,N,NA,NA,NA,NA,-4108,NA,-1992,78721,76729,26935,10025-1284,198209,2011
TADA THEATRE AND DANCE ALLIANCE INC,White,theater,N,N,Youth,Y,NA,NA,4,49000,-240,-141603,141363,1692461,1833824,874658,10001-0000,198512,2011
TAKE WING AND SOAR PRODUCTIONS INC,Multiracial,theater,Y,Y,n/a,NA,NA,NA,NA,NA,-6816,-8721,1905,59448,61353,34105,10027-3322,200307,2011
TALENT OF PURPOSE SOCIETY INC,MD,multidisciplinary,MD,MD,MD,MD,NA,NA,NA,NA,-8995,1644,-10639,77712,67073,67073,11236-2113,200710,2011
TALENT UNDER ONE ROOF INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,NA,-32051,-25986,-6065,111844,105779,0,11210-0000,200707,2011
TECTONIC THEATER PROJECT INC,White,theater,N,N,n/a,N,NA,NA,2,15000,-79230,265004,-93350,1097743,1004393,653416,10018-6507,199304,2011
TERRANOVA THEATRE COLLECTIVE INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-3873,NA,757,66705,67462,58667,10011-1241,200309,2011
THALIA SPANISH THEATRE INC,Hispanic/Latino,theater,N,Y,n/a,NA,NA,NA,2,22000,-27475,65488,-38983,535503,496520,391729,11104-0368,197505,2011
THE CHILDRENS CREATIVE WRITING CAMPAIGN INC,White,literary arts,N,N,Youth,N,NA,NA,NA,NA,-236543,-230575,-56549,177866,121317,107501,10038-3130,199804,2011
THE CLOCKWORK THEATRE INCORPORATED,MD,theater,MD,MD,MD,MD,NA,closed?,NA,NA,-6013,521,-6534,77954,71420,56086,10014-0709,200605,2011
THE JAZZ GALLERY,Multiracial,music: other,N,Y,n/a,NA,NA,NA,1,25000,-96398,-74777,-21621,413510,391889,254265,10001-0006,199707,2011
THE LYRIC CHAMBER MUSIC SOCIETY OF NEW YORK INC,White,music: classical,N,N,n/a,N,NA,NA,3,5500,-254698,-130257,-124441,265822,141381,117142,10023-7129,199801,2011
THE MICHAEL CHEKHOV THEATRE COMPANY INC,White,theater,N,N,n/a,MD,NA,closed?,NA,NA,-28706,-10445,-18261,113636,95375,8409,10003-4554,200802,2011
THE OBSIDIAN SOCIETY INC,Black,folk arts/heritage,N,Y,n/a,NA,NA,NA,NA,NA,-13324,-13324,0,0,0,0,11216-1308,199710,2011
THE QUEENS THEATRE COMPANY INC,White,multidisciplinary,N,N,n/a,Y,NA,NA,NA,NA,-1795,NA,-1592,40729,39137,30062,10108-0027,200108,2011
THE VILNA PROJECT INC,White,film/electronic/media,N,N,Religion: Jewish,N,Cultural Heritage,NA,NA,NA,-195990,NA,-1582,4916,3334,0,10019-3303,199404,2011
THEATER TALK PRODUCTIONS INC,White,film/electronic/media,N,N,n/a,N,NA,closed 2018,NA,NA,-274,-917,643,96981,97624,95105,10013-3259,199806,2011
THEATRETWEED INC,MD,theater,MD,MD,MD,MD,NA,NA,NA,NA,-3595,NA,2438,19444,21882,9775,10014-2980,198405,2011
