NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,closed?,# Foundation Grants,$Amt Foundation Grants,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,Cultural Heritage,year
MUSEUM OF CONTEMPORARY AFRICAN DIASPORIAN ARTS,Black,visual arts,Y,Y,n/a,NA,NA,NA,NA,-159331,28288,-75526,395228,319702,298682,11217-1506,200112,NA,2019
MUSIC AT THE ANTHOLOGY INC,White,music: other,N,N,n/a,N,NA,2,11500,-14801,5926,-20727,189529,168802,168802,10013-2260,200103,NA,2019
MUSIC FOR LIFE INTERNATIONAL INC,White,music: other,Y,N,n/a,N,NA,NA,NA,-33452,-29198,-4254,80056,75802,27280,10011-0011,201011,NA,2019
MUSIC FROM JAPAN INC,Asian/Pacific Islander,music: other,N,Y,n/a,NA,NA,NA,NA,-60052,-22562,-28720,214156,185436,160752,10003-1106,197611,NA,2019
MUSIC OF THE SPHERES SOCIETY INC,White,music: other,N,N,n/a,N,NA,NA,NA,-10266,-10044,-222,974,752,750,10024-6893,200212,NA,2019
MUSIC THAT MAKES COMMUNITY,White,music: other,N,N,n/a,N,NA,NA,NA,-6886,NA,-9224,111620,102396,50170,10276-1031,201506,NA,2019
MUSIC THEATRE GROUP INC,White,theater,N,N,n/a,MD,closed 2016,1,1000,-124700,-133824,9124,58147,67271,46373,10025-1519,196504,NA,2019
MUSICA SACRA INC,White,music: other,N,N,n/a,N,NA,NA,NA,-51028,-49495,-1639,362662,361023,75338,11201-1952,197403,NA,2019
MUSIQUARIUM INC,White,music: other,N,N,n/a,ND,NA,1,1643,-6928,352,-7280,103004,95724,68811,10013-2230,201303,NA,2019
NATIONAL MUSIC THEATRE NETWORK INC,White,theater,N,N,n/a,MD,closed 2016,NA,NA,-173974,-153423,-20551,1734509,1713958,465024,NA,198405,NA,2019
NAUTILUSTHINK INC,White,literary arts,N,N,n/a,N,NA,NA,NA,-251770,-1788492,61925,1083134,1145059,17959,10018-6496,201409,NA,2019
NDI CENTER CORP,White,dance: other,N,N,n/a,Y,NA,NA,NA,-3791898,-3288087,-503811,503811,0,0,10039-3427,201012,NA,2019
NEW CAMERATA OPERA INC,White,opera,N,N,n/a,Y,NA,NA,NA,-10890,-11230,340,75234,75574,49322,10463-4400,201803,NA,2019
NEW FEDERAL THEATER INC,Black,theater,N,Y,n/a,NA,NA,3,87500,-34820,-10655,-63187,419959,356772,287599,10036-6216,197601,NA,2019
NEW MUSIC WORLD LTD,White,music: other,N,N,n/a,N,NA,NA,NA,-18823,NA,128,4612,4740,400,NA,201506,NA,2019
